DATE,HOUR,RENTED_BIKE_COUNT
01/03/2016,9,2305
01/03/2016,10,1222
01/03/2016,11,1076
01/03/2016,12,1225
01/03/2016,13,1441
01/03/2016,14,1399
01/03/2016,15,1476
01/03/2016,16,1908
01/03/2016,17,3183
01/03/2016,18,3024
01/03/2016,19,1961
01/03/2016,20,1267
01/03/2016,21,902
01/03/2016,22,618
01/03/2016,23,352
01/03/2018,0,329
01/03/2018,1,146
01/03/2018,2,86
01/03/2018,3,32
01/03/2018,4,72
01/03/2018,5,372
01/03/2018,6,1404
01/03/2018,7,3200
01/03/2018,8,5657
01/03/2018,9,3693
01/03/2018,10,2129
01/03/2018,11,1923
01/03/2018,12,2198
01/03/2018,13,2303
01/03/2018,14,2388
01/03/2018,15,2624
01/03/2018,16,3272
01/03/2018,17,4848
01/03/2018,18,4568
01/03/2018,19,2593
01/03/2018,20,1179
01/03/2018,21,266
01/03/2018,22,184
01/03/2018,23,98
01/04/2014,0,105
01/04/2014,1,45
01/04/2014,2,31
01/04/2014,3,12
01/04/2014,4,35
01/04/2014,5,116
01/04/2014,6,520
01/04/2014,7,1214
01/04/2014,8,2312
01/04/2014,9,1686
01/04/2014,10,966
01/04/2014,11,818
01/04/2014,12,1060
01/04/2014,13,1130
01/04/2014,14,1185
01/04/2014,15,1252
01/04/2014,16,1593
01/04/2014,17,2770
01/04/2014,18,2844
01/04/2014,19,1745
01/04/2014,20,957
01/04/2014,21,728
01/04/2014,22,523
01/04/2014,23,261
01/04/2015,0,101
01/04/2015,1,43
01/04/2015,2,32
01/04/2015,3,13
01/04/2015,4,28
01/04/2015,5,128
01/04/2015,6,488
01/04/2015,7,1072
01/04/2015,8,1932
01/04/2015,9,1348
01/04/2015,10,753
01/04/2015,11,721
01/04/2015,12,860
01/04/2015,13,905
01/04/2015,14,893
01/04/2015,15,997
01/04/2015,16,1354
01/04/2015,17,2371
01/04/2015,18,2434
01/04/2015,19,1538
01/04/2015,20,907
01/04/2015,21,619
01/04/2015,22,334
01/04/2015,23,275
01/04/2016,0,305
01/04/2016,1,155
01/04/2016,2,87
01/04/2016,3,50
01/04/2016,4,70
01/04/2016,5,200
01/04/2016,6,834
01/04/2016,7,1405
01/04/2016,8,2571
01/04/2016,9,2664
01/04/2016,10,1400
01/04/2016,11,1458
01/04/2016,12,1338
01/04/2016,13,1739
01/04/2016,14,1981
01/04/2016,15,2328
01/04/2016,16,3065
01/04/2016,17,4144
01/04/2016,18,3428
01/04/2016,19,1627
01/04/2016,20,1234
01/04/2016,21,957
01/04/2016,22,777
01/04/2016,23,632
01/04/2017,0,94
01/04/2017,1,93
01/04/2017,2,43
01/04/2017,3,41
01/04/2017,4,22
01/04/2017,5,26
01/04/2017,6,104
01/04/2017,7,285
01/04/2017,8,702
01/04/2017,9,1075
01/04/2017,10,1403
01/04/2017,11,1719
01/04/2017,12,1982
01/04/2017,13,2024
01/04/2017,14,1982
01/04/2017,15,2022
01/04/2017,16,2075
01/04/2017,17,2068
01/04/2017,18,1797
01/04/2017,19,1427
01/04/2017,20,973
01/04/2017,21,726
01/04/2017,22,643
01/04/2017,23,523
01/04/2018,0,366
01/04/2018,1,252
01/04/2018,2,145
01/04/2018,3,91
01/04/2018,4,65
01/04/2018,5,53
01/04/2018,6,119
01/04/2018,7,345
01/04/2018,8,744
01/04/2018,9,1284
01/04/2018,10,1970
01/04/2018,11,2487
01/04/2018,12,2731
01/04/2018,13,3097
01/04/2018,14,3188
01/04/2018,15,3043
01/04/2018,16,3053
01/04/2018,17,2792
01/04/2018,18,2452
01/04/2018,19,1800
01/04/2018,20,1179
01/04/2018,21,882
01/04/2018,22,606
01/04/2018,23,405
01/05/2014,0,23
01/05/2014,1,20
01/05/2014,2,8
01/05/2014,3,12
01/05/2014,4,18
01/05/2014,5,94
01/05/2014,6,381
01/05/2014,7,790
01/05/2014,8,1708
01/05/2014,9,1313
01/05/2014,10,752
01/05/2014,11,823
01/05/2014,12,1239
01/05/2014,13,1359
01/05/2014,14,1425
01/05/2014,15,1611
01/05/2014,16,1989
01/05/2014,17,3368
01/05/2014,18,3610
01/05/2014,19,2464
01/05/2014,20,1539
01/05/2014,21,1075
01/05/2014,22,633
01/05/2014,23,508
01/05/2015,0,217
01/05/2015,1,106
01/05/2015,2,48
01/05/2015,3,30
01/05/2015,4,38
01/05/2015,5,156
01/05/2015,6,708
01/05/2015,7,1421
01/05/2015,8,2632
01/05/2015,9,2124
01/05/2015,10,1223
01/05/2015,11,1161
01/05/2015,12,1400
01/05/2015,13,1506
01/05/2015,14,1616
01/05/2015,15,1785
01/05/2015,16,2186
01/05/2015,17,3096
01/05/2015,18,2446
01/05/2015,19,1587
01/05/2015,20,910
01/05/2015,21,616
01/05/2015,22,528
01/05/2015,23,384
01/05/2016,0,433
01/05/2016,1,244
01/05/2016,2,188
01/05/2016,3,110
01/05/2016,4,64
01/05/2016,5,57
01/05/2016,6,120
01/05/2016,7,237
01/05/2016,8,357
01/05/2016,9,415
01/05/2016,10,364
01/05/2016,11,500
01/05/2016,12,502
01/05/2016,13,717
